match,group,is_participating,start,end,content,URL
1,1,yes,368,377,L16_31232,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/L16_31232.b3dm
2,1,yes,653,663,L17_312320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/L17_312320.b3dm
3,1,yes,939,955,320/L18_3123200,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L18_3123200.b3dm
4,1,yes,1231,1248,320/L19_31232000,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L19_31232000.b3dm
5,1,yes,1524,1542,320/L20_312320000,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320000.b3dm
10,1,yes,4159,4177,320/L20_312320010,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320010.b3dm
15,1,yes,6794,6812,320/L20_312320020,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320020.b3dm
20,1,yes,9429,9447,320/L20_312320030,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320030.b3dm
25,1,yes,12352,12369,320/L19_31232010,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L19_31232010.b3dm
26,1,yes,12645,12663,320/L20_312320100,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320100.b3dm
31,1,yes,15567,15585,320/L20_312320110,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320110.b3dm
36,1,yes,18776,18794,320/L20_312320120,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320120.b3dm
41,1,yes,22272,22290,320/L20_312320130,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320130.b3dm
46,1,yes,25482,25499,320/L19_31232020,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L19_31232020.b3dm
47,1,yes,25775,25793,320/L20_312320200,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320200.b3dm
52,1,yes,28410,28428,320/L20_312320210,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320210.b3dm
57,1,yes,31045,31063,320/L20_312320220,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320220.b3dm
62,1,yes,33680,33698,320/L20_312320230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320230.b3dm
67,1,yes,36316,36333,320/L19_31232030,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L19_31232030.b3dm
68,1,yes,36609,36627,320/L20_312320300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320300.b3dm
78,1,yes,41879,41897,320/L20_312320320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320320.b3dm
83,1,yes,44514,44532,320/L20_312320330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/320/L20_312320330.b3dm
88,1,yes,47147,47163,321/L18_3123210,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L18_3123210.b3dm
89,1,yes,47439,47456,321/L19_31232100,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L19_31232100.b3dm
90,1,yes,47732,47750,321/L20_312321000,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321000.b3dm
96,1,yes,52102,52120,321/L20_312321010,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321010.b3dm
101,1,yes,55885,55903,321/L20_312321020,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321020.b3dm
104,1,yes,57927,57945,321/L20_312321030,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321030.b3dm
109,1,yes,61423,61441,321/L20_312321040,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321040.b3dm
115,1,yes,65504,65521,321/L19_31232110,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L19_31232110.b3dm
116,1,yes,65797,65815,321/L20_312321100,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321100.b3dm
121,1,yes,69293,69311,321/L20_312321110,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321110.b3dm
126,1,yes,72789,72807,321/L20_312321120,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321120.b3dm
131,1,yes,76285,76303,321/L20_312321130,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321130.b3dm
136,1,yes,79210,79227,321/L19_31232120,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L19_31232120.b3dm
137,1,yes,79503,79521,321/L20_312321200,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321200.b3dm
142,1,yes,82712,82730,321/L20_312321210,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321210.b3dm
147,1,yes,85634,85652,321/L20_312321220,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321220.b3dm
152,1,yes,88844,88862,321/L20_312321230,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321230.b3dm
157,1,yes,92632,92649,321/L19_31232130,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L19_31232130.b3dm
158,1,yes,92925,92943,321/L20_312321300,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321300.b3dm
163,1,yes,96422,96440,321/L20_312321310,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321310.b3dm
168,1,yes,99057,99075,321/L20_312321320,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321320.b3dm
173,1,yes,102846,102864,321/L20_312321330,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/321/L20_312321330.b3dm
178,1,yes,106345,106361,322/L18_3123220,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L18_3123220.b3dm
179,1,yes,106637,106654,322/L19_31232200,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L19_31232200.b3dm
180,1,yes,106930,106948,322/L20_312322000,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L20_312322000.b3dm
185,1,yes,109565,109583,322/L20_312322010,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L20_312322010.b3dm
190,1,yes,112487,112505,322/L20_312322020,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L20_312322020.b3dm
195,1,yes,115122,115140,322/L20_312322030,https://simplex-smart3d.com/ces/rehovot/Scene/Data/312/322/L20_312322030.b3dm
